SIGNAL_NAME,Lat,Lng
DN KHS DIST,2159.77780,8304.25990
DN KHS INNR DIST,2159.64770,8304.85820
DN KHS HOME,2159.50700,8305.42320
DN L XING:310,2159.45300,8305.78230
DN KHS STR,2159.57230,8306.40300
DN KHS ADV STR,2159.59370,8306.49220
DN NEU SEC AHEAD,2159.67130,8306.82660
DN GATE INNR DIST,2159.69790,8306.93740
DN GATE SIG,2159.82950,8307.48320
DN L XING:311,2159.85110,8307.60230
DN IB,2159.86310,8307.81160
DN ROB DIST,2159.86030,8308.94820
DN ROB INNR DIST,2159.75950,8309.55830
DN ROB HOME,2159.57840,8310.10260
DN ROB STR,2159.38880,8311.16600
DN L XING:305,2159.43420,8311.31950
DN ROB ADV STR,2159.43420,8311.31950
DN SPGL INNR DIST,2159.64770,8311.78740
DN SPGL HOME,2159.88600,8312.30300
DN L XING:303,2159.93450,8312.40800
DN SPGL STR,2200.04260,8312.80310
DN GATE SIG,2159.72580,8313.69740
DN L XING:301,2159.66960,8313.78270
DN BEF DIST,2159.38010,8314.21920
DN BEF INNR DIST,2159.06340,8314.69330
DN BEF HOME,2158.73810,8315.19070
