SIGNAL_NAME,Lat,Lng
UP MID SA G:DJA283,2110.37720,8042.64800
UP MID L XING,2110.41220,8042.54470
UP MID PJB HOME,2110.66460,8042.14660
UP MID PJB STR,2111.14550,8041.49520
UP MID DJ OPEN,2111.38620,8041.16870
UP MID A:DJA217,2111.52360,8040.98170
UP MID SA G:DJA215,2111.82680,8040.48480
UP MID L XING,2111.82610,8040.41550
UP MID A:DJA215X,2111.75280,8039.77580
UP MID A:DJA213,2112.00730,8039.18570
UP MID A:DJA211,2112.56020,8038.81970
UP MID BTL HOME,2112.93230,8038.23360
UP MID BTL STR,2113.12280,8037.46320
UP MID L XING,2113.16830,8037.34690
UP MID BTL ADV STR,2113.44380,8037.12580
UP MID A:DJA207,2113.73810,8036.88460
UP MID A:DJA205,2114.16590,8036.53570
UP MID SA G:DJA203,2114.59950,8036.19100
UP MID L XING,2114.66380,8036.13630
UP MID A:DJA201,2115.21160,8035.90930
UP MID DKS HOME,2115.82810,8035.26080
UP MID DKS STR,2116.33050,8034.78800
UP MID SKS STR,2118.08200,8029.42350
UP MID L XING,2118.08420,8029.35570
UP MID SKS ADV STR,2118.09360,8029.04450
UP MID L XING,2118.09360,8028.94160
UP MID A:DJA185,2118.09660,8028.54570
UP MID A:DJA183,2118.10220,8027.96260
UP MID L XING,2118.10780,8027.86210
UP MID A:DJA181,2118.23370,8027.51810
UP MID A:DJA179,2118.49940,8027.00380
UP MID L XING,2118.56520,8026.89050
UP MID A:DJA177,2118.82350,8026.53570
UP MID DNL HOME,2119.16530,8026.07190
UP MID DNL STR,2119.41170,8025.22760
UP MID A:DJA171,2119.61310,8024.56540
UP MID SA G:DJA169,2120.07860,8024.16660
UP MID L XING,2120.15800,8024.10520
UP MID SA G:DJA167,2120.58990,8023.77240
UP MID L XING,2120.67020,8023.70980
UP MID A:DJA165,2121.05610,8023.41080
UP MID AGN HOME,2121.44390,8022.97440
UP MID L XING,2121.53330,8022.76170
UP MID AGN STR,2121.80660,8022.24140
UP MID AGN ADV STR,2121.88250,8022.11570
UP MID DJ OPEN,2122.02510,8021.88300
UP MID SA G:DJA163,2122.25120,8021.46380
UP MID L XING,2122.35060,8021.26310
UP MID A:DJA163X,2122.52740,8020.93790
UP MID A:DJA161,2122.78470,8020.40430
UP MID L XING,2122.83220,8020.31020
UP MID SA G:DJA159,2123.08300,8019.81750
UP MID L XING,2123.13370,8019.71680
UP MID A:DJA157,2123.45600,8019.18400
UP MID SA G:DJA155,2123.86130,8018.65020
UP MID L XING,2123.92130,8018.57140
UP MID A:DJA153,2124.29790,8018.07810
UP MID GDM HOME,2124.68750,8017.57840
UP MID GDM STR,2125.07210,8017.06080
UP MID GDM ADV STR,2125.21890,8016.86470
UP MID SA G:DJA151,2125.63480,8016.31820
UP MID L XING,2125.70590,8016.23140
UP MID A:DJA149,2126.10040,8015.80210
UP MID A:DJA147,2126.50530,8015.36830
UP MID SA G:DJA145,2126.96520,8014.87770
UP MID L XING,2127.04060,8014.79720
UP MID A:DJA143,2127.33610,8014.47030
UP MID A:DJA141,2127.60380,8013.95140
UP MID A:DJA139,2127.66670,8013.39330
UP MID DJ OPEN,2127.66220,8013.03600
UP MID SA G:DJA139X,2127.67280,8012.79590
UP MID L XING,2127.67600,8012.72240
UP MID G HOME,2127.69020,8012.37340
UP MID G R HOME,2127.69700,8011.78260
UP MID G STR,2127.73430,8011.25640
UP MID G INT STR,2127.76300,8010.90960
UP MID G ADV STR,2127.77890,8010.65460
UP MID SA G:DJA137,2127.79060,8010.41520
UP MID L XING,2127.79530,8010.31850
UP MID SA G:DJA137X,2127.82680,8009.73490
UP MID L XING,2127.83300,8009.62780
UP MID SA G:DJA135,2127.85860,8009.14850
UP MID L XING,2127.86520,8009.04600
UP MID A:DJA133,2127.89600,8008.49430
UP MID A:DJA131,2127.92820,8007.89980
UP MID A:DJA129,2127.90090,8007.32670
UP MID A:DJA127,2127.70900,8006.77610
UP MID SA G:DJA125,2127.50790,8006.23100
UP MID L XING,2127.46880,8006.13790
UP MID A:DJA123,2127.22490,8005.52020
UP MID A:DJA121,2126.96960,8004.87210
UP MID GJ HOME,2126.68110,8004.14240
UP MID GJ STR,2126.57860,8003.44670
UP MID A:DJA119,2126.59420,8002.86850
UP MID SA G:DJA117,2126.59120,8002.29490
UP MID L XING,2126.53660,8002.18340
UP MID A:DJA115,2126.24740,8001.76620
UP MID A:DJA113,2126.15450,8001.09600
UP MID A:DJA111,2126.06140,8000.43360
UP MID KWN HOME,2125.98230,7959.86690
UP MID L XING,2125.96100,7959.73670
UP MID KWN STR,2125.75410,7958.72640
UP MID KWN ADV STR,2125.72470,7958.59290
UP MID SA G:DJA109,2125.54070,7957.76510
UP MID DJ OPEN,2125.52120,7957.68090
UP MID L XING,2125.51100,7957.63730
UP MID A:DJA107,2125.39050,7957.11570
UP MID SA G:DJA0105,2125.26010,7956.55160
UP MID L XING,2125.20380,7956.31770
UP MID A:DJA105,2125.11960,7955.99210
UP MID TRO HOME,2124.96690,7955.43840
UP MID L XING,2124.93300,7955.32110
UP MID TRO STR,2124.75170,7954.67810
