SIGNAL_NAME,Lat,Lng
DN MID TRO STR,2124.86570,7955.08230
DN MID L XING,2124.93300,7955.32110
DN MID A:DJA106,2125.02370,7955.64920
DN MID SA G:DJA0106,2125.17770,7956.20730
DN MID L XING,2125.20380,7956.31770
DN MID A:DJA108,2125.33810,7956.88810
DN MID SA G:DJA110,2125.48630,7957.53130
DN MID L XING,2125.51100,7957.63730
DN MID DJ OPEN,2125.52120,7957.68090
DN MID KWN HOME,2125.69070,7958.42080
DN MID L XING,2125.72470,7958.59290
DN MID KWN STR,2125.84680,7959.13200
DN MID KWN INT STR,2125.89370,7959.32730
DN MID KWN ADV STR,2125.95420,7959.68790
DN MID L XING,2125.96100,7959.73670
DN MID A:DJA112,2126.03630,8000.25200
DN MID A:DJA114,2126.11650,8000.82900
DN MID A:DJA116,2126.20860,8001.48110
DN MID SA G:DJA118,2126.37660,8002.02350
DN MID L XING,2126.53660,8002.18340
DN MID A:DJA120,2126.60430,8002.53660
DN MID GJ HOME,2126.58630,8003.12030
DN MID GJ STR,2126.60390,8003.89310
DN MID GJ ADV STR,2126.63290,8004.01090
DN MID A:DJA122,2126.88050,8004.64690
DN MID A:DJA124,2127.12340,8005.26490
DN MID SA G:DJA126,2127.36100,8005.87310
DN MID L XING,2127.45490,8006.10610
DN MID A:DJA128,2127.57220,8006.41950
DN MID A:DJA130,2127.79780,8006.99930
DN MID A:DJA132,2127.93750,8007.68930
DN MID A:DJA134,2127.90650,8008.28920
DN MID SA G:DJA136,2127.87490,8008.87610
DN MID L XING,2127.86800,8009.01260
DN MID SA G:DJA138,2127.84070,8009.48180
DN MID L XING,2127.83510,8009.59250
DN MID SA G:DJA138X,2127.80380,8010.16510
DN MID L XING,2127.79780,8010.28450
DN MID G HOME,2127.78620,8010.51340
DN MID G R HOME,2127.75390,8011.02970
DN MID G STR,2127.70210,8011.69710
DN MID G INT STR,2127.70230,8011.92400
DN MID G ADV STR,2127.69160,8012.23270
DN MID SA G:DJA140,2127.68080,8012.54930
DN MID L XING,2127.67630,8012.66800
DN MID DJ OPEN,2127.66650,8012.93970
DN MID A:DJA140X,2127.65480,8013.38410
DN MID A:DJA142,2127.64240,8013.68470
DN MID A:DJA144,2127.47250,8014.24980
DN MID SA G:DJA146,2127.12200,8014.70690
DN MID L XING,2127.05560,8014.77800
DN MID A:DJA148,2126.60620,8015.26420
DN MID A:DJA150,2126.19060,8015.70670
DN MID SA G:DJA152,2125.78680,8016.14030
DN MID L XING,2125.72000,8016.21760
DN MID GDM HOME,2125.36570,8016.67390
DN MID GDM STR,2124.82100,8017.40550
DN MID A:DJA154,2124.45960,8017.86870
DN MID SA G:DJA156,2124.02670,8018.43470
DN MID L XING,2123.98920,8018.48340
DN MID A:DJA158,2123.59900,8018.99390
DN MID SA G:DJA160,2123.20990,8019.56670
DN MID L XING,2123.18160,8019.62220
DN MID A:DJA162,2122.95280,8020.07300
DN MID A:DJA162X,2122.68510,8020.59970
DN MID SA G:DJA164,2122.43790,8021.10700
DN MID L XING,2122.39450,8021.18130
DN MID A:DJA164X,2122.17940,8021.61630
DN MID DJ OPEN,2122.07610,8021.79980
DN MID AGN HOME,2121.97840,8021.95910
DN MID AGN STR,2121.59780,8022.60750
DN MID L XING,2121.55910,8022.69880
DN MID AGN ADV STR,2121.50650,8022.82460
DN MID A:DJA166,2121.23340,8023.27040
DN MID SA G:DJA168,2120.79440,8023.61390
DN MID L XING,2120.73200,8023.66160
DN MID SA G:DJA170,2120.28640,8024.00920
DN MID L XING,2120.21960,8024.05900
DN MID A:DJA172,2119.76660,8024.40510
DN MID DNL HOME,2119.47450,8025.01770
DN MID DNL STR,2119.32150,8025.61470
DN MID DNL ADV STR,2119.23570,8025.93650
